N1,N2,QID,Time,Degree,Overtime,Heu,Graph
3,6,1,182,5,0,1,fat200
6,9,1,129,8,0,1,fat200
9,12,1,127,11,0,1,fat200
12,15,1,"16,943",11,0,0,fat200
15,18,1,"15,681",11,0,0,fat200
18,21,1,"15,032",11,0,0,fat200
21,24,1,"21,485",11,0,0,fat200
3,6,14,179,5,0,1,GSE1730_q
6,9,41,305,8,0,1,GSE1730_q
12,15,255,641,14,0,1,GSE1730_q
15,18,123,"12,327",15,0,0,GSE1730_q
9,12,59,"215,852",9,0,0,GSE1730_q
21,24,214,"286,213",20,0,0,GSE1730_q
18,21,123,"340,624",16,0,0,GSE1730_q
18,21,61,456,20,0,1,GSE10158_q
21,24,61,439,23,0,1,GSE10158_q
3,6,185,"20,265",4,0,0,GSE10158_q
6,9,57,"143,274",6,0,0,GSE10158_q
9,12,168,"1,141,931",8,0,0,GSE10158_q
12,15,167,"1,221,448",9,0,0,GSE10158_q
15,18,167,"1,246,251",10,0,0,GSE10158_q
15,18,827,"68,501,057",12,0,0,orani
12,15,608,"96,777,438",9,0,0,orani
3,6,323,"140,096,159",2,2,0,orani
6,9,228,"140,091,180",4,2,0,orani
9,12,2421,"140,083,068",7,2,0,orani
18,21,834,"140,056,739",10,2,0,orani
21,24,852,"140,047,070",10,2,0,orani
6,9,137,288,8,0,1,ego-facebook
3,6,58,"1,581,816",4,0,0,ego-facebook
12,15,53,"1,577,554",13,0,0,ego-facebook
15,18,82,"1,575,858",14,0,0,ego-facebook
9,12,1127,"17,465,327",9,0,0,ego-facebook
18,21,0,"30,866,984",18,0,0,ego-facebook
21,24,1473,"169,372,016",12,2,0,ego-facebook
3,6,4628,256,5,0,1,grqc_q
9,12,3770,609,11,0,1,grqc_q
12,15,4509,347,14,0,1,grqc_q
15,18,785,163,17,0,1,grqc_q
18,21,896,281,20,0,1,grqc_q
21,24,1502,574,23,0,1,grqc_q
6,9,59,"10,318",7,0,0,grqc_q
3,6,4628,340,5,0,1,grqc_q
9,12,3770,788,11,0,1,grqc_q
12,15,4509,457,14,0,1,grqc_q
15,18,785,203,17,0,1,grqc_q
18,21,896,358,20,0,1,grqc_q
21,24,1502,758,23,0,1,grqc_q
6,9,59,"10,073",7,0,0,grqc_q
3,6,3214,"11,828,232",4,0,0,uc64
12,15,2818,"11,818,057",4,0,0,uc64
21,24,2954,"11,806,847",8,0,0,uc64
6,9,3743,"117,062,580",4,0,0,uc64
